D1;Bochum 1;;30
D1;Bochum 2;;90
D1;Bochum 3;;240
D1;Bochum 6;;600
D1;Bochum 7;;1200
D1;Bochum 9;;900
D1;Bochum 10;;1200
D1;Bochum 11;;1260
D1;Bochum 12;;600
D1;Bochum 13;;840
D1;Bochum 14;;120
D1;Bochum 15;;180
MG;Bochum 1;;7.9
MG;Bochum 2;;9.7
MG;Bochum 3;;9.9
MG;Bochum 4;;7.3
MG;Bochum 5;;7
MG;Bochum 6;;9.9
MG;Bochum 7;;6.8
MG;Bochum 8;;10.3
MG;Bochum 9;;6.3
MG;Bochum 10;;6.2
MG;Bochum 11;;7.9
MG;Bochum 12;;9.7
MG;Bochum 13;;7.2
MG;Bochum 14;;9.3
MG;Bochum 15;;6.3
